modelo,horizonte,tipo_MC,corr_erro_sigma__erro_CALL,corr_erro_sigma__erro_PUT,n_obs
EGARCH,1M,Constante,,,2572
EGARCH,1M,Dinamica,0.2523639683772062,0.2452018011791436,2572
EGARCH,1W,Constante,,,2588
EGARCH,1W,Dinamica,0.35987149276816727,0.3328826952819102,2588
EGARCH,1Y,Constante,,,2341
EGARCH,1Y,Dinamica,0.1232742600129603,-0.04280634893497826,2341
EGARCH-t,1M,Constante,,,2572
EGARCH-t,1M,Dinamica,0.2945885328257149,0.25108736157776795,2572
EGARCH-t,1W,Constante,,,2588
EGARCH-t,1W,Dinamica,0.38929424993291134,0.3496753938321063,2588
EGARCH-t,1Y,Constante,,,2341
EGARCH-t,1Y,Dinamica,0.18117402465170035,-0.016138249089938023,2341
GJR,1M,Constante,,,2572
GJR,1M,Dinamica,0.25899917745098877,0.25108126154706634,2572
GJR,1W,Constante,,,2588
GJR,1W,Dinamica,0.3659275248604849,0.33842614540284216,2588
GJR,1Y,Constante,,,2341
GJR,1Y,Dinamica,0.13037359985190733,-0.03868290678842331,2341
GJR-t,1M,Constante,,,2572
GJR-t,1M,Dinamica,0.24628942479092325,0.23785295726286554,2572
GJR-t,1W,Constante,,,2588
GJR-t,1W,Dinamica,0.34793762230814523,0.324496374221637,2588
GJR-t,1Y,Constante,,,2341
GJR-t,1Y,Dinamica,0.1207112386740311,-0.04545481984661591,2341
HAR,1M,Constante,,,2572
HAR,1M,Dinamica,0.27041921691768656,0.2585962495106234,2572
HAR,1W,Constante,,,2588
HAR,1W,Dinamica,0.3630657941918907,0.3596948338184499,2588
HAR,1Y,Constante,,,2341
HAR,1Y,Dinamica,0.13626928069477112,-0.032882623864476754,2341
